               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087868,            0.021821,             0.04731,                   0,                   0,                   0,                   0,             0.13233,           0.0076312,             0.41377,            0.070366,           0.0032927,           0.0032927
                   1,            0.067369,            0.018687,             0.04586,           0.0090491,             0.20773,           0.0046245,            0.001158,            0.099403,              0.9147,             0.14075,            0.040333,           0.0065932,           0.0065932
                   2,            0.058941,             0.01606,            0.043602,              0.2168,             0.27152,            0.019276,           0.0062119,            0.078938,            0.076797,            0.055019,            0.010267,           0.0098608,           0.0098608
                   3,            0.055097,            0.014758,            0.040687,            0.076127,             0.30632,            0.099693,            0.041475,            0.096562,            0.024915,             0.67819,           0.0098515,           0.0098515,           0.0098515
                   4,              0.0507,            0.013942,             0.03943,            0.065714,             0.37457,            0.085982,             0.04278,            0.061674,            0.050195,            0.056839,           0.0098515,           0.0098515,           0.0098515
                   5,            0.048901,            0.013586,            0.037263,             0.21298,             0.41728,             0.19875,             0.08857,            0.050593,            0.016964,            0.039503,            0.009802,            0.009802,            0.009802
                   6,            0.044939,            0.013166,            0.035359,             0.18124,              0.5184,             0.21563,            0.072582,            0.055529,             0.01733,            0.035238,           0.0097525,           0.0097525,           0.0097525
                   7,            0.043525,            0.013071,            0.033564,             0.32159,             0.52262,              0.4499,              0.1331,            0.051801,            0.010854,            0.030777,            0.009703,            0.009703,            0.009703
                   8,            0.043242,            0.012179,            0.031987,             0.44285,             0.43582,             0.39358,              0.1824,            0.046405,           0.0093234,             0.03088,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043278,            0.012439,            0.031127,             0.23379,             0.47091,             0.37272,             0.13724,            0.049445,            0.011113,            0.031069,            0.009604,            0.009604,            0.009604
                  10,            0.041282,            0.012707,            0.029331,             0.27465,             0.41151,             0.32119,             0.10427,            0.055066,            0.010367,            0.037453,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042921,            0.012451,            0.030652,             0.41111,             0.60696,             0.54071,             0.17753,             0.05504,           0.0086479,            0.024846,            0.009505,            0.009505,            0.009505
                  12,             0.04224,            0.012452,            0.027812,             0.54436,             0.49519,             0.57255,             0.19258,            0.050759,            0.010564,            0.021959,           0.0094555,           0.0094555,           0.0094555
